,classified.subtype,classified.price,classified.land.surface,classified.bedroom.count,classified.atticExists,classified.outdoor.terrace.exists,classified.wellnessEquipment.hasSwimmingPool
878,apartment block,1499000,134,10,0,0,0
879,apartment block,1350000,1135,32,0,1,0
880,house,265000,490,2,1,1,0
882,house,202000,212,4,0,1,0
883,house,425000,266,5,0,0,0
884,house,239900,160,3,1,0,0
885,house,395000,283,3,0,1,0
887,house,332458,369,2,0,0,0
888,house,292528,282,2,0,0,0
889,house,291328,282,2,0,0,0
891,house,295825,282,2,0,0,0
892,house,335458,369,2,0,0,0
893,villa,1100000,2559,6,1,1,1
894,house,69000,13,2,1,1,0
895,mixed use building,299000,0,2,0,0,0
896,mixed use building,278000,0,2,0,0,0
897,mixed use building,289000,0,2,0,0,0
898,house,170000,222,3,1,0,0
899,apartment block,1180000,120,7,0,1,0
901,house,149000,210,3,0,1,0
902,house,300000,80,6,1,1,0
903,apartment block,850000,200,3,1,1,0
905,exceptional property,1249000,196,5,1,1,0
906,apartment block,365000,1013,7,0,0,0
908,house,90000,0,1,0,0,0
909,house,420000,359,3,1,1,0
910,house,715000,0,2,0,1,0
911,exceptional property,1295000,650,10,0,1,0
912,house,650000,0,4,0,0,0
913,house,749000,215,3,0,1,0
914,house,249000,204,3,0,0,0
915,house,130000,446,3,1,1,0
916,house,260000,2782,4,1,0,0
917,house,355000,323,4,0,0,0
919,exceptional property,649000,370,4,0,1,0
921,house,650000,992,4,1,1,0
922,house,745000,800,5,0,0,0
923,mixed use building,285000,0,3,0,0,0
924,house,319000,348,3,0,0,0
925,exceptional property,689000,5467,13,0,1,0
926,villa,1495000,3566,5,1,0,0
927,house,95000,56,2,0,0,0
928,house,228000,2254,3,0,0,0
929,villa,623000,406,4,0,0,0
930,villa,723500,540,4,0,0,0
931,villa,615000,981,3,1,1,0
932,house,635000,5651,3,0,1,0
933,mixed use building,275000,100,3,1,0,0
934,house,249000,227,4,0,0,0
935,house,265000,330,4,0,1,0
936,house,205000,110,3,0,0,0
938,house,316000,0,4,0,1,0
939,house,189000,0,2,0,1,0
940,farmhouse,425000,2555,4,0,1,0
941,villa,845000,1112,3,0,0,0
942,villa,399000,908,2,1,1,0
943,house,230000,223,2,0,0,0
944,house,99000,157,3,1,0,0
945,town house,565000,203,4,0,1,0
946,house,149900,300,3,1,1,0
947,house,448500,908,3,0,1,0
948,house,429000,540,3,0,1,0
949,house,150000,575,2,0,0,0
950,house,325000,1035,3,1,1,0
951,house,575000,915,4,0,1,0
952,villa,1500000,650,4,0,1,0
953,country cottage,25000,185,3,0,0,0
955,exceptional property,1050000,139,2,1,1,0
957,house,240000,468,3,1,1,0
958,house,420000,1045,3,1,1,0
960,house,160000,1200,3,1,1,0
