,House_Type,Price,Serface,No. of Bed-Room,AtticExists,TerraceExists,SwimmingPoolExists
579,house,296000.0,280.0,5.0,1,0,0
580,house,289000.0,245.0,5.0,1,0,0
581,house,296000.0,270.0,5.0,1,0,0
582,house,145000.0,244.0,2.0,1,1,0
583,house,170000.0,0.0,6.0,0,0,0
584,house,1278000.0,4655.0,6.0,0,1,0
586,castle,4950000.0,148400.0,5.0,0,1,0
588,house,330000.0,136.0,3.0,0,0,0
590,villa,3900000.0,3000.0,6.0,0,0,0
591,castle,725000.0,2200.0,10.0,0,0,0
592,exceptional property,4950000.0,4895.0,7.0,0,1,1
593,apartment block,200000.0,97.0,4.0,0,1,0
595,house,200000.0,97.0,4.0,0,1,0
597,house,100000.0,692.0,4.0,1,0,0
598,farmhouse,1500000.0,6180.0,6.0,0,0,0
600,house,259000.0,465.0,2.0,0,0,0
603,apartment block,235000.0,0.0,5.0,0,0,0
607,castle,4950000.0,14840.0,5.0,0,0,0
610,house,110000.0,343.0,5.0,0,1,0
611,apartment block,1300000.0,0.0,6.0,0,0,0
612,exceptional property,495000.0,207.0,3.0,1,1,0
614,castle,4950000.0,148400.0,5.0,0,1,0
617,farmhouse,695000.0,4266.0,4.0,1,1,0
619,house,129500.0,259.0,2.0,0,1,0
620,exceptional property,1250000.0,26769.0,5.0,1,1,0
621,house,275000.0,1234.0,3.0,0,0,0
622,house,348000.0,293.0,3.0,0,0,0
623,house,180000.0,70.0,3.0,0,1,0
625,house,99000.0,170.0,2.0,1,0,0
626,farmhouse,795000.0,3600.0,11.0,0,1,0
627,house,210000.0,285.0,3.0,0,0,0
628,house,60000.0,90.0,3.0,0,0,0
629,house,195000.0,384.0,4.0,0,1,0
632,villa,460000.0,1182.0,4.0,1,1,0
633,house,355000.0,645.0,3.0,1,1,0
635,house,1995000.0,0.0,4.0,0,1,1
636,house,795000.0,117.0,4.0,0,1,0
638,mixed use building,795000.0,117.0,4.0,0,1,0
639,house,972000.0,152.0,6.0,0,1,0
